FECHA;OPER;TIPO;GRUPO_NETEO;FONDO;CVA;DVA;NETO;COD
20260514;1105644;FWD;240;92;-3042293.42160232;4691250.74785963;1648957.32625731;01
20260514;1105646;FWD;240;92;-3578606.34444903;5449066.42668204;1870460.08223301;01
20260514;1105648;FWD;240;92;-4076973.03375762;6168177.36254069;2091204.32878307;01
20260514;1105650;FWD;240;92;-91262306.0710945;141300359.252143;50038053.1810485;01
20260514;1105652;FWD;2;93;-1975581.91377395;2598601.61631569;623019.70254174;01
20260514;1105654;FWD;46;93;-14078907.1492956;21814472.2151663;7735565.0658707;01
20260514;1105660;FWD;241;93;-11577.0244869851;222.731233198339;-11354.2932537868;01
20260514;1105662;FWD;241;93;-33289.5227847264;4444.91515117922;-28844.6076335472;01
20260514;1105664;FWD;241;93;-61042.3510089053;23539.4526090389;-37502.8983998664;01
20260514;1105666;FWD;241;93;-102768.287295542;66420.6989937176;-36347.5883018244;01
20260514;1105668;FWD;241;93;-141891.918966597;112138.730217385;-29753.188749212;01
20260514;1105670;FWD;241;93;-191103.25384105;199456.537983514;8353.28414246399;01
20260514;1105672;FWD;241;93;-237032.936671828;305153.18650326;68120.249831432;01
20260514;1105674;FWD;241;93;-301565.0396141;418484.745053484;116919.705439384;01
20260514;1105676;FWD;241;93;-361029.6848385;534154.341136482;173124.656297982;01
20260514;1105678;FWD;241;93;-439071.596527165;658119.54338106;219047.946853895;01
20260514;1105680;FWD;241;93;-508459.662024049;786547.02000055;278087.357976501;01
20260514;1105682;FWD;241;93;-598696.830138682;914151.092564821;315454.262426139;01
20260514;1105684;FWD;241;93;-682821.294555435;1035558.29251933;352736.997963895;01
20260514;1105686;FWD;241;93;-15297549.1473074;23735362.4008633;8437813.2535559;01
20260514;1105692;FWD;241;93;-41901.7903418013;2365.02484484572;-39536.7654969556;01
20260514;1105694;FWD;241;93;-87828.8421000719;21057.2240095063;-66771.6180905656;01
20260514;1105696;FWD;241;93;-148873.58857297;76788.1849464546;-72085.4036265154;01
20260514;1105698;FWD;241;93;-218608.006821702;158824.116041173;-59783.890780529;01
20260514;1105700;FWD;241;93;-295144.354565684;274905.528217059;-20238.826348625;01
20260514;1105702;FWD;241;93;-374862.372615765;459336.96476864;84474.592152875;01
20260514;1105704;FWD;241;93;-466963.863328033;665663.457755075;198699.594427042;01
20260514;1105706;FWD;241;93;-571994.495239069;884076.186795968;312081.691556899;01
20260514;1105708;FWD;241;93;-687461.88111521;1106965.44126126;419503.56014605;01
20260514;1105710;FWD;241;93;-814646.937006036;1345073.65131176;530426.714305724;01
20260514;1105712;FWD;241;93;-953269.854738293;1575318.4769849;622048.622246607;01
20260514;1105714;FWD;241;93;-1113045.24377244;1799280.54008144;686235.296309;01
20260514;1105716;FWD;241;93;-1260116.36001348;2007441.14181728;747324.7818038;01
20260514;1105718;FWD;241;93;-1397280.53061856;2217407.27735586;820126.7467373;01
20260514;1105720;FWD;241;93;-1522161.32999153;2433794.98980806;911633.65981653;01
20260514;1105722;FWD;241;93;-1641807.59196917;2634361.11498522;992553.52301605;01
20260514;1105724;FWD;241;93;-1763269.07389622;2808542.30610444;1045273.23220822;01
20260514;1105726;FWD;241;93;-1881465.14403225;2969939.51614888;1088474.37211663;01
20260514;1105728;FWD;241;93;-1902968.6613128;3255167.96824045;1352199.30692765;01
20260514;1105730;FWD;241;93;-1889285.50015406;3592340.40738094;1703054.90722688;01
20260514;1105732;FWD;241;93;-1821216.98821668;3772210.52012646;1950993.53190978;01
20260514;1105734;FWD;241;93;-1712702.314358;3806467.91520708;2093765.60084908;01
20260514;1105736;FWD;241;93;-44758718.0408083;109014832.163853;64256114.1230447;01
20260514;1105782;FWD;47;94;-558291.288872962;21839.9729002016;-536451.31597276;01
20260514;1105784;FWD;47;94;-568947.105573834;21452.0151585691;-547495.090415265;01
20260514;1105792;FWD;841;94;-26807805.7317706;969742.105893315;-25838063.6258773;01
20260514;1105794;FWD;841;94;-25884852.6094474;1036447.07249144;-24848405.536956;01
20260514;1105798;FWD;3;94;-187338.690409965;25466.9839080331;-161871.706501932;01
20260514;1105801;FWD;3;94;-11623.6724852767;0;-11623.6724852767;01
20260514;1105805;FWD;3;94;-141007.641932956;59023.2392458931;-81984.4026870629;01
20260514;1105807;FWD;3;94;-124028.322453994;80257.7509772783;-43770.5714767157;01
20260514;1105809;FWD;3;94;-6564265.77232105;12412324.5890262;5848058.81670515;01
20260514;1105811;FWD;47;94;-8368.33245645449;0;-8368.33245645449;01
20260514;1105813;FWD;47;94;-8703278.9200469;0;-8703278.9200469;01
20260514;1105815;FWD;281;94;-118277.077005095;0;-118277.077005095;01
20260514;1105817;FWD;281;94;-27128151.2944981;47154295.7922532;20026144.4977551;01
20260514;1105823;FWD;4;95;-8260449.71023022;15798004.2300888;7537554.51985858;01
20260514;1105825;FWD;48;95;-2416515.23971281;5686323.94913686;3269808.70942405;01
20260514;1105827;FWD;48;95;-20747825.8512277;37543876.7550337;16796050.903806;01
20260514;1105829;FWD;48;95;-2491108.91076341;7142138.88111464;4651029.97035123;01
20260514;1105835;FWD;243;95;-31701.9303064396;705.003859811456;-30996.9264466281;01
